Secciones,Concepto,Detalle
I. Fundamentos Fenomenológicos y Ontológicos,Primeridad,"La Primeridad constituye la primera categoría fenomenológica peirceana y designa el modo de ser de aquello que es tal como es en sí mismo, positivamente y sin referencia a ninguna otra cosa. Representa la cualidad pura del sentimiento, la posibilidad inmediata, lo fresco y original antes de toda distinción o relación. Ejemplos paradigmáticos incluyen el rojo como simple cualidad cromática independiente de cualquier objeto rojo particular, o la experiencia de una sensación antes de reconocerla como sensación de algo. La Primeridad se caracteriza por su carácter monádico, su inmediatez, su espontaneidad y su naturaleza evanescente. No admite análisis en partes ni comparación con otras cosas, pues cualquier operación analítica o comparativa ya introduciría Segundidad. Fenomenológicamente, corresponde a ese aspecto de la experiencia que simplemente se presenta con su cualidad peculiar, su sabor distintivo o su tonalidad afectiva propia."
I. Fundamentos Fenomenológicos y Ontológicos,Segundidad,"La Segundidad designa el modo de ser de aquello que es tal como es en relación con un segundo, pero sin consideración de ningún tercero. Representa la categoría de la reacción bruta, del hecho actual, de la resistencia y el esfuerzo, de la existencia desnuda. Mientras la Primeridad es pura cualidad sin referencia, la Segundidad introduce la dualidad fundamental de acción-reacción, ego-no ego, esto-aquello. Se manifiesta paradigmáticamente en la experiencia del choque, el obstáculo, la sorpresa, la compulsión física. La Segundidad es diádica por naturaleza: requiere necesariamente dos términos en relación real, como cuando empujamos una puerta y sentimos su resistencia. Implica individualidad, singularidad, hæcceidad. La existencia misma consiste en Segundidad: existir es reaccionar con el universo circundante. Carece de racionalidad intrínseca; es fuerza bruta, aquí y ahora, sin mediación intelectual ni justificación."
I. Fundamentos Fenomenológicos y Ontológicos,Terceridad,"La Terceridad constituye el modo de ser de aquello que es tal como es en tanto media entre un segundo y un tercero, poniéndolos en relación. Representa la categoría de la mediación, la ley, el pensamiento, la representación, la generalidad y la continuidad. Mientras la Segundidad conecta dos términos por reacción bruta, la Terceridad introduce el carácter intelectual o cuasi-intelectual que permite que un primero influya sobre un segundo de determinada manera. La semiosis misma es irreduciblemente triádica: un signo representa un objeto para un interpretante, y esta relación no puede descomponerse en relaciones diádicas sin perder su carácter esencial. La Terceridad se manifiesta en hábitos, leyes naturales, regularidades, propósitos, significados. Tiene naturaleza prospectiva: consiste en cómo los eventos futuros tenderán a conformarse a un patrón general. Todo pensamiento genuino, toda inteligibilidad, toda razón objetivada involucra Terceridad irreducible."
I. Fundamentos Fenomenológicos y Ontológicos,Cuarteridad (y su reducibilidad),"La Cuarteridad representaría hipotéticamente un modo de ser definido por relaciones entre cuatro correlatos. Peirce demostró rigurosamente que toda relación tetrádica o de mayor complejidad es reducible a combinaciones de relaciones triádicas, sin que emerja ningún elemento ontológicamente nuevo. Esta reducibilidad no es meramente formal sino que tiene consecuencias filosóficas fundamentales: establece que las tres categorías fenomenológicas son completas y suficientes para analizar toda la experiencia posible. Una relación cuádruple puede siempre concebirse como una relación triádica entre relaciones triádicas. Por ejemplo, ""A vende B a C por el precio D"" se analiza como relaciones triádicas conectadas, no como una genuina cuateridad irreducible. Esta demostración sostiene la arquitectura categorial completa del sistema peirceano y justifica por qué la semiótica triádica captura exhaustivamente la estructura de la significación."
I. Fundamentos Fenomenológicos y Ontológicos,Cualidad,"La cualidad designa aquello que hace que algo sea como es en sí mismo, independientemente de cualquier otra cosa y prescindiendo de toda relación o encarnación. Pertenece esencialmente a la Primeridad: es pura suchness, el carácter positivo inmediato. El rojo como cualidad pura difiere del rojo como propiedad de un objeto particular; este último ya involucra Segundidad. Las cualidades son posibilidades eternas que pueden o no realizarse en la experiencia. No tienen partes, unidad ni diversidad intrínseca; simplemente son lo que son. La dureza como cualidad no es ""lo que resiste al cuchillo"" (definición que introduce relaciones diádicas) sino la simple posibilidad positiva que reconoceríamos al encontrar un cuerpo duro. En semiótica, las cualidades son fundamentales para la iconicidad: un icono representa su objeto compartiendo cualidades con él, siendo semejante en ciertos aspectos cualitativos que posee independientemente de si existe o no su objeto."
I. Fundamentos Fenomenológicos y Ontológicos,Relación,"La relación designa el modo de conexión entre dos o más términos, constituyendo el fundamento de la Segundidad y especialmente de la Terceridad. Peirce distingue entre relaciones diádicas genuinas, caracterizadas por reacción bruta sin mediación, y relaciones triádicas genuinas, donde un término media entre otros dos. La lógica de relaciones desarrollada por Peirce demostró que las relaciones triádicas no pueden reducirse a combinaciones de relaciones diádicas: la mediación es ontológicamente primitiva. Una relación no es meramente ideal o mental; puede ser perfectamente real, como la relación gravitacional entre cuerpos celestes. Las relaciones tienen valencia: su cantidad de lugares o argumentos. La valencia determina la complejidad estructural del fenómeno: relaciones monádicas (predicados simples), diádicas (conexiones binarias), triádicas (mediaciones genuinas). En semiótica, toda relación sígnica es irreduciblemente triádica: signo-objeto-interpretante constituyen una tríada genuina."
I. Fundamentos Fenomenológicos y Ontológicos,Representación,"La representación constituye el núcleo de la Terceridad y de la semiosis. Consiste en que algo esté en lugar de otra cosa para alguien o algo en algún respecto. Involucra necesariamente tres términos: el representamen (aquello que representa), el objeto (aquello representado), y el interpretante (el efecto significativo producido). La representación nunca es mera duplicación: siempre representa su objeto según cierto fundamento o ground, en cierta perspectiva o capacidad. Un mapa representa un territorio en aspectos espaciales pero no cromáticos; una palabra representa su objeto convencionalmente. La representación genuina requiere capacidad de generar interpretantes ulteriores: es esencialmente fértil, capaz de desarrollarse en cadenas interpretativas. No debe confundirse con mera correlación diádica; la representación es triádica irreduciblemente. Tiene carácter prospectivo: consiste en cómo determinará interpretaciones futuras bajo condiciones apropiadas."
I. Fundamentos Fenomenológicos y Ontológicos,Posibilidad,"La posibilidad designa el modo de ser de la Primeridad cuando se considera ontológicamente. No refiere a posibilidad lógica ni epistémica sino a posibilidad real: aquello que podría ser independientemente de si alguna vez se actualiza. Las cualidades existen como posibilidades eternas antes de toda encarnación. El azul como cualidad pura es una posibilidad real incluso antes de que existiera materia azul en el universo. Peirce distingue la posibilidad (firstness) de la actualidad (secondness) y la necesidad o generalidad (thirdness). La posibilidad no implica referencia a circunstancias existentes ni a leyes; es pura potencialidad positiva. En semiótica, el cualisigno existe como pura posibilidad: es cualidad en tanto signo, sin requerir encarnación actual. La posibilidad no es meramente ausencia de impedimento sino carácter positivo susceptible de realización, forma definida que podría tomar la experiencia."
I. Fundamentos Fenomenológicos y Ontológicos,Actualidad,"La actualidad designa el modo de ser de la Segundidad: la existencia bruta, el hecho consumado, aquello que ocurre aquí y ahora independientemente de toda razón. Lo actual se caracteriza por su reacción con el universo de existentes, su singularidad irrepetible, su presencia inmediata. Mientras la posibilidad es eterna y la necesidad/generalidad gobierna el futuro indefinido, la actualidad es el presente que resiste, que se impone, que compele reconocimiento. Un evento actual es un fait accompli cuyo esse reside in praeterito: una vez ocurrido, su facticidad es inalterable. La actualidad no requiere inteligibilidad; puede ser completamente fortuita. En semiótica, el sinsigno posee actualidad: es un evento o cosa individual existente que funciona como signo. La experiencia de actualidad se manifiesta paradigmáticamente en la percepción, donde algo se impone a la conciencia compulsivamente, forzando reconocimiento más allá de toda anticipación o deseo."
I. Fundamentos Fenomenológicos y Ontológicos,Necesidad,"La necesidad representa el modo de ser asociado con la Terceridad cuando se considera la conformidad inevitable a una ley o patrón general. Difiere radicalmente de la actualidad fortuita: mientras lo actual simplemente es sin razón, lo necesario es tal como debe ser según principios generales. La necesidad peirceana no es principalmente lógica sino real: consiste en que eventos futuros tenderán a conformarse a regularidades establecidas. Un hábito arraigado hace necesario (en cierto grado) que bajo determinadas circunstancias sobrevenga determinada respuesta. Las leyes naturales representan necesidades reales: no meramente describen regularidades observadas sino que gobiernan eventos futuros. En semiótica, el legisigno tiene carácter necesario: es ley que determina cómo sus réplicas significarán. La necesidad admite grados: desde regularidades estadísticas débiles hasta leyes exceptionless. Tiene carácter normativo y prospectivo: especifica cómo las cosas deberán ser en el futuro indefinido."
